Node,X,Y
132,267150,800536
133,267372,809511
134,267538,809338
135,267600,800738
136,267613,814386
137,267750,800583
138,267777,800358
139,268000,800666
140,268172,800822
141,268197,806655
142,268327,810933
143,268416,810963
144,268794,800536
145,268833,822902
146,269069,992711
147,269097,820541
148,269138,823272
149,269294,820455
150,269338,800944
151,269466,820261
152,269580,820672
153,269613,819841
154,269758,820908
155,270269,804858
156,270500,822500
157,270527,824244
158,270566,823786
159,270591,801366
160,270727,824077
161,270994,824544
162,271188,824444
163,271300,824533
164,271438,802008
165,271675,802663
166,271958,824905
167,271972,802530
168,272155,818586
169,272172,802700
170,272191,802394
171,272216,824980
172,272266,981438
173,272436,808300
174,272516,808141
175,272541,802300
176,272836,824808
177,272927,813630
178,273063,986780
179,273294,824577
180,273361,825308
181,273602,981233
182,274097,825694
183,274122,826591
184,274241,825802
185,274250,825905
186,274463,803258
187,274472,825463
188,274666,827041
189,274688,826863
190,274691,825416
191,274930,817961
192,274952,814411
193,274972,827091
194,274986,825750
195,275061,995072
196,275119,826322
197,275155,978558
198,275211,825725
199,275213,825277
200,275308,827336
201,275355,825613
202,275427,804025
203,275469,818116
204,275858,977988
205,275955,815063
206,275986,984077
207,276380,818241
208,276383,803975
209,276741,977483
210,276750,804094
211,277122,822991
212,277163,803844
213,277205,824333
214,277455,815308
215,277480,804363
216,277480,827036
217,277519,818019
218,277519,980694
219,277547,827377
220,277636,982386
221,277675,806016
222,277688,827691
223,277813,979083
224,277900,976686
225,277950,819805
226,277977,827975
227,278002,973961
228,278083,828113
229,278138,827783
230,278158,828208
231,278258,828291
232,278336,970608
233,278355,804933
234,278425,826997
235,278625,828486
236,278750,828513
237,278769,973236
238,278775,972113
239,278802,805005
240,278825,986175
241,278950,819736
242,278961,818433
243,279011,815861
244,279091,827875
245,279091,971497
246,279141,827055
247,279211,828172
248,279219,972897
249,279227,828433
250,279355,828063
251,279375,822861
252,279455,818005
253,279472,824586
254,279502,975819
255,279525,817272
256,279563,979366
257,279650,818780
258,279655,828002
259,279675,819736
260,279780,817566
261,279786,816141
262,279786,973983
263,279905,826933
264,279936,816902
265,279938,822197
266,279944,817383
267,280033,805658
268,280083,819077
269,280183,821130
270,280194,827719
271,280202,970541
272,280219,817330
273,280222,816194
274,280313,820150
275,280338,826652
276,280341,805888
277,280350,823894
278,280363,975088
279,280408,993541
280,280441,816280
281,280611,970408
282,280650,817888
283,280680,805605
284,280713,806536
285,280719,806802
286,280777,827638
287,280786,806027
288,280850,806666
289,280891,805658
290,280916,817236
291,280941,978277
292,281138,816180
293,281144,819738
294,281205,820233
295,281355,806719
296,281458,827569
297,281486,805886
298,281508,824616
299,281611,816019
300,281758,805902
301,281822,818241
302,281875,827397
303,282163,827225
304,282333,821813
305,282380,973197
306,282438,827194
307,282586,814566
308,282713,827197
309,282916,814077
310,283050,972750
311,283197,806077
312,283322,981172
313,283358,822747
314,283505,807255
315,283644,821961
316,283858,807422
317,284005,977480
318,284055,806050
319,284150,967133
320,284319,807602
321,284366,992347
322,284569,813916
323,284580,813594
324,284600,981822
325,284655,821722
326,284716,813680
327,284858,813725
328,284952,815350
329,285025,813308
330,285072,821705
331,285216,998602
332,285380,813794
333,285380,814605
334,285408,813008
335,285491,817730
336,285544,811066
337,285547,816333
338,285550,823880
339,285577,818513
340,285650,815863
341,285688,815441
342,285730,995683
343,285741,817463
344,285780,818869
345,285908,813944
346,285997,813394
347,286097,820552
348,286119,808077
349,286144,813808
350,286147,966258
351,286191,814427
352,286416,811236
353,286475,968922
354,286488,813513
355,286497,819927
356,286608,813658
357,286613,814191
358,286616,815097
359,286647,821130
360,286650,808450
361,286672,991702
362,286680,973880
363,286697,812083
364,286772,998277
365,286775,813280
366,286794,965600
367,286802,815097
368,286986,813083
369,287077,962172
370,287088,1004991
371,287094,817330
372,287308,816013
373,287394,811152
374,287500,822969
375,287555,820950
376,287586,813180
377,287811,826152
378,287994,820702
379,288002,812733
380,288022,816447
381,288038,817258
382,288105,818780
383,288188,978483
384,288355,823305
385,288402,817688
386,288525,816855
387,288611,819066
388,288616,987061
389,288650,820391
390,288830,977127
391,288847,979005
392,288919,990947
393,289002,812638
394,289005,823747
395,289022,825927
396,289172,819230
397,289177,985461
398,289291,816658
399,289408,998494
400,289441,952886
401,289486,812988
402,289538,953594
403,289600,960650
404,289669,984783
405,289783,966458
406,289805,812336
407,289808,975025
408,289825,959691
409,289825,980172
410,289886,809025
411,290027,953316
412,290175,958891
413,290244,953986
414,290255,809272
415,290255,809722
416,290297,827161
417,290300,826688
418,290336,954341
419,290386,956983
420,290402,965133
421,290402,985677
422,290441,955688
423,290488,824611
424,290550,820625
425,290558,954097
426,290694,980816
427,290936,972888
428,290961,809372
429,291191,813516
430,291333,981558
431,291383,830352
432,291397,989050
433,291436,956450
434,291655,810047
435,291691,954316
436,291758,809830
437,291869,821402
438,291894,988622
439,291963,962694
440,292094,997858
441,292105,810230
442,292261,986575
443,292280,953447
444,292366,979597
445,292391,814658
446,292433,810377
447,292672,977641
448,292855,810561
449,292875,971516
450,292947,952786
451,293102,1004175
452,293105,988097
453,293113,961025
454,293172,994661
455,293472,991411
456,293480,950158
457,293488,810666
458,293555,988783
459,293561,981152
460,293625,1008963
461,293663,821975
462,293788,902600
463,293836,949025
464,293872,824469
465,293991,958375
466,294236,952438
467,294238,984933
468,294288,971702
469,294300,815108
470,294383,905952
471,294419,902991
472,294436,969408
473,294475,826425
474,294505,959944
475,294569,946394
476,294605,950511
477,294625,953577
478,294630,983852
479,294658,812580
480,294747,811272
481,294747,984505
482,294786,984872
483,294802,896938
484,294822,954152
485,294830,949219
486,294847,984655
487,294877,985513
488,294950,986183
489,295000,815916
490,295013,974522
491,295044,822800
492,295066,949922
493,295072,950947
494,295152,983800
495,295177,983158
496,295230,985161
497,295291,952008
498,295297,825191
499,295308,960708
500,295375,907200
501,295425,903380
502,295425,950202
503,295472,950319
504,295477,982908
505,295519,982694
506,295533,906022
507,295569,958083
508,295605,1043716
509,295613,982266
510,295633,952858
511,295638,950252
512,295686,979644
513,295711,981400
514,295722,903816
515,295747,971425
516,295819,957605
517,295822,984905
518,295847,985522
519,295894,963333
520,295916,820875
521,295919,980330
522,295955,907194
523,296002,984869
524,296130,828177
525,296158,955575
526,296183,955375
527,296194,956347
528,296200,950097
529,296236,818905
530,296311,960650
531,296341,831252
532,296458,905391
533,296461,826066
534,296483,816377
535,296513,823250
536,296580,815986
537,296622,948900
538,296627,952352
539,296655,950191
540,296661,911019
541,296666,901083
542,296691,1000119
543,296791,959769
544,296802,976472
545,296816,969027
546,296875,971083
547,296894,912708
548,296897,958994
549,296908,952088
550,296930,913019
551,296944,912188
552,296991,912066
553,297027,967802
554,297027,981241
555,297050,951236
556,297055,954586
557,297058,954366
558,297063,965394
559,297177,815083
560,297177,954336
561,297230,901236
562,297255,849833
563,297263,990733
564,297272,905988
565,297352,949772
566,297363,848786
567,297486,966008
568,297597,955169
569,297630,953630
570,297672,952336
571,297672,955297
572,297702,954952
573,297727,946825
574,297758,951144
575,297772,955169
576,297780,951716
577,297805,961569
578,297855,958241
579,297858,820316
580,297858,959508
581,297894,821675
582,297897,943830
583,297927,961005
584,297944,987316
585,297955,824944
586,297955,908227
587,297958,915013
588,297975,933250
589,298186,950558
590,298200,943838
591,298236,904750
592,298266,825969
593,298372,909561
594,298377,915441
595,298475,948905
596,298530,846644
597,298547,899905
598,298677,951280
599,298797,950627
600,298830,979411
601,298847,976697
602,298875,955627
603,298955,898977
604,298986,939286
605,298991,901002
606,299022,955022
607,299033,900772
608,299052,968763
609,299058,901422
610,299061,903561
611,299100,900325
612,299108,916633
613,299116,950619
614,299144,900538
615,299175,939241
616,299183,902108
617,299319,903663
618,299322,953800
619,299361,906786
620,299402,902030
621,299402,910247
622,299425,899633
623,299427,903516
624,299438,821100
625,299477,854180
626,299480,919886
627,299480,939169
628,299500,962569
629,299541,900052
630,299544,900750
631,299580,920358
632,299588,829283
633,299650,912030
634,299675,989047
635,299741,939922
636,299763,904088
637,299777,903877
638,299794,818105
639,299838,901527
640,299888,978769
641,299911,939583
642,299916,816783
643,299938,902416
644,299977,922847
645,299988,904122
646,300033,918186
647,300108,907194
648,300155,1002050
649,300205,938455
650,300225,823397
651,300258,925083
652,300272,945913
653,300355,944241
654,300402,906988
655,300438,820719
656,300463,948850
657,300472,906897
658,300472,991400
659,300477,943355
660,300527,831750
661,300536,905516
662,300558,906191
663,300563,917369
664,300563,959266
665,300663,904800
666,300772,992400
667,300805,926713
668,300819,937580
669,300850,978400
670,300858,941016
671,300927,937363
672,300930,959875
673,300972,960780
674,300977,984211
675,300994,919900
676,301008,909927
677,301025,940516
678,301088,948580
679,301102,973150
680,301125,852005
681,301130,946427
682,301172,835819
683,301216,924980
684,301308,856033
685,301313,940152
686,301400,944108
687,301422,1023936
688,301469,919611
689,301522,947388
690,301527,855700
691,301586,856602
692,301658,817066
693,301666,963975
694,301686,933758
695,301697,911469
696,301708,856252
697,301758,843752
698,301763,858055
699,301805,924641
700,301816,932736
701,301825,969361
702,301841,908591
703,301894,826394
704,301897,925825
705,301905,935811
706,301922,826147
707,302008,856269
708,302138,923744
709,302141,918319
710,302172,910961
711,302222,926569
712,302238,920197
713,302255,978033
714,302263,932172
715,302327,951608
716,302347,922683
717,302355,920944
718,302355,921852
719,302358,928225
720,302363,933772
721,302366,930136
722,302383,909200
723,302419,932505
724,302452,856483
725,302458,877008
726,302500,1032500
727,302530,941897
728,302669,977427
729,302733,918991
730,302750,897811
731,302750,988716
732,302766,977908
733,302766,984116
734,302772,912236
735,302819,821222
736,302866,893761
737,302888,912341
738,302891,856405
739,302944,813933
740,302950,907950
741,302975,937433
742,302977,978016
743,303025,819755
744,303025,931905
745,303077,1040186
746,303086,892869
747,303116,813966
748,303116,954558
749,303130,917902
750,303133,899430
751,303138,842475
752,303155,892475
753,303169,920488
754,303294,827591
755,303311,924955
756,303319,816558
757,303341,813988
758,303405,975566
759,303458,965280
760,303488,941777
761,303494,973700
762,303502,891527
763,303536,912652
764,303547,940725
765,303569,871638
766,303580,900655
767,303583,1036605
768,303586,905861
769,303655,885561
770,303672,890927
771,303677,979913
772,303713,943122
773,303758,843008
774,303758,897483
775,303838,872750
776,303855,886116
777,303877,960875
778,303933,864958
779,303941,912536
780,303958,888852
781,303975,919313
782,304027,922150
783,304030,882483
784,304041,901569
785,304055,866188
786,304063,876836
787,304097,866630
788,304108,817080
789,304108,914336
790,304111,888277
791,304111,920683
792,304113,885344
793,304188,970113
794,304208,873075
795,304211,872169
796,304247,954797
797,304250,872519
798,304261,888908
799,304263,872797
800,304302,888422
801,304319,849758
802,304380,842808
803,304386,904413
804,304391,976197
805,304402,885436
806,304408,866136
807,304427,872225
808,304433,850452
809,304438,856886
810,304502,934330
811,304505,911544
812,304519,912100
813,304555,866383
814,304613,873150
815,304686,872361
816,304691,834130
817,304691,836302
818,304702,919783
819,304738,879191
820,304752,901008
821,304761,883422
822,304783,900375
823,304811,926955
824,304850,925958
825,304852,928505
826,304866,909561
827,304875,876997
828,304891,997716
829,304911,915194
830,304941,924175
831,304977,949963
832,304980,861361
833,305019,907477
834,305041,904611
835,305041,905822
836,305050,978200
837,305080,976786
838,305100,872125
839,305180,829483
840,305183,921847
841,305186,872727
842,305227,879033
843,305252,896794
844,305333,920813
845,305366,917527
846,305375,954830
847,305425,975463
848,305450,838702
849,305452,877516
850,305475,881752
851,305536,877119
852,305588,915558
853,305600,919538
854,305619,818308
855,305666,1006430
856,305691,847433
857,305705,974091
858,305772,904830
859,305780,982725
860,305786,978527
861,305813,872913
862,305869,845833
863,305880,911680
864,305900,881708
865,305902,972966
866,305922,951291
867,305958,916163
868,305986,870311
869,305991,871611
870,306033,879036
871,306038,830980
872,306136,972052
873,306161,920569
874,306169,846600
875,306180,877530
876,306200,927625
877,306227,857122
878,306236,844147
879,306277,963341
880,306316,816066
881,306322,870397
882,306325,976769
883,306336,924191
884,306352,905008
885,306483,911563
886,306580,984402
887,306602,938925
888,306694,814627
889,306877,922713
890,306908,819175
891,306927,917438
892,306936,853922
893,306941,880430
894,307013,914361
895,307050,848430
896,307075,849244
897,307100,1012002
898,307108,949327
899,307122,850202
900,307172,911413
901,307175,974425
902,307213,861155
903,307233,955505
904,307238,873141
905,307383,915941
906,307386,880788
907,307436,980552
908,307472,832208
909,307488,844838
910,307541,935402
911,307580,982280
912,307591,986747
913,307619,865705
914,307636,880747
915,307647,905116
916,307730,858141
917,307741,852269
918,307750,944152
919,307816,855386
920,307836,924252
921,307847,835600
922,307908,898486
923,307916,837900
924,307916,856797
925,307947,974252
926,307969,853766
927,307997,816900
928,308158,926602
929,308205,880705
930,308230,883613
931,308302,820100
932,308305,906716
933,308325,832786
934,308372,912175
935,308400,895341
936,308411,977933
937,308461,932888
938,308469,901530
939,308483,937572
940,308530,880561
941,308530,969766
942,308558,820211
943,308600,1006005
944,308655,910155
945,308700,851619
946,308772,842013
947,308780,974013
948,308783,965927
949,308827,843238
950,308827,877730
951,308916,880397
952,308938,1028788
953,309036,845755
954,309077,944219
955,309138,1018975
956,309175,997861
957,309197,932822
958,309200,911155
959,309200,939963
960,309250,885900
961,309380,905088
962,309450,953752
963,309469,975383
964,309497,959113
965,309527,871513
966,309530,921825
967,309566,855166
968,309575,851622
969,309597,837380
970,309636,817227
971,309655,864597
972,309736,840530
973,309763,925850
974,309777,966736
975,309813,863075
976,309833,918000
977,309838,920533
978,309841,1037441
979,309911,833727
980,309966,948269
981,310000,872608
982,310011,894522
983,310050,863280
984,310066,904722
985,310102,863497
986,310111,838663
987,310147,922872
988,310236,874938
989,310258,964850
990,310294,961144
991,310327,858638
992,310344,919755
993,310363,827472
994,310397,1048302
995,310402,848791
996,310408,830752
997,310486,853050
998,310547,951255
999,310558,974641
1000,310577,920488
1001,310594,921211
1002,310636,981813
1003,310680,836238
1004,310722,840891
1005,310727,969783
1006,310744,831994
1007,310786,976052
1008,310894,910683
1009,310905,882280
1010,310930,870627
1011,310944,924002
1012,310980,973425
1013,311022,856969
1014,311044,912994
1015,311050,870722
1016,311080,855944
1017,311086,888272
1018,311127,860461
1019,311147,932713
1020,311158,901419
1021,311169,977275
1022,311238,979027
1023,311266,954452
1024,311275,841519
1025,311277,920661
1026,311358,1022238
1027,311369,834236
1028,311391,855191
1029,311430,894097
1030,311430,904586
1031,311433,932608
1032,311497,814916
1033,311555,885577
1034,311583,944261
1035,311650,966766
1036,311691,889200
1037,311711,847333
1038,311797,837891
1039,311808,821350
1040,311827,852363
1041,311869,947808
1042,311913,1014600
1043,311955,987177
1044,311972,910216
1045,312022,890347
1046,312033,970363
1047,312041,819813
1048,312066,973025
1049,312072,832502
1050,312133,823541
1051,312158,861711
1052,312161,998452
1053,312169,983930
1054,312227,904602
1055,312230,853905
1056,312311,842105
1057,312355,857227
1058,312436,904530
1059,312477,939741
1060,312516,898375
1061,312616,1008169
1062,312688,836872
1063,312713,834650
1064,312775,945763
1065,312794,863255
1066,312822,892755
1067,312825,862555
1068,312836,904683
1069,312925,851116
1070,312975,828525
1071,312988,853444
1072,312988,870225
1073,313058,822422
1074,313061,968977
1075,313080,973611
1076,313100,857130
1077,313111,924450
1078,313113,855530
1079,313127,843358
1080,313180,954563
1081,313188,854938
1082,313194,839172
1083,313222,924341
1084,313269,892902
1085,313380,947288
1086,313391,1028513
1087,313402,1109336
1088,313405,830461
1089,313405,938466
1090,313408,835936
1091,313444,1095447
1092,313463,892600
1093,313511,853422
1094,313527,865391
1095,313569,1095611
1096,313613,961438
1097,313644,893061
1098,313700,814341
1099,313775,849341
1100,313794,841611
1101,313850,832230
1102,313855,859294
1103,313863,972152
1104,313902,926691
1105,313902,976841
1106,313972,1023497
1107,314127,833291
1108,314144,860677
1109,314152,924116
1110,314172,895422
1111,314216,853377
1112,314227,1034927
1113,314333,874013
1114,314350,977436
1115,314394,835194
1116,314397,847250
1117,314436,934572
1118,314438,974088
1119,314480,1099277
1120,314497,985705
1121,314502,835086
1122,314588,856405
1123,314611,1033933
1124,314622,971955
1125,314627,908500
1126,314636,1004366
1127,314650,882544
1128,314675,971144
1129,314716,836469
1130,314722,908966
1131,314747,969230
1132,314855,845138
1133,314861,820172
1134,314916,954783
1135,315022,1061580
1136,315044,910688
1137,315086,828500
1138,315088,878944
1139,315127,837877
1140,315172,826350
1141,315188,927066
1142,315213,971536
1143,315241,965336
1144,315277,873247
1145,315297,941058
1146,315305,838355
1147,315341,974427
1148,315391,824625
1149,315394,1107555
1150,315422,867150
1151,315422,968333
1152,315491,971463
1153,315536,901072
1154,315544,1103030
1155,315580,847383
1156,315602,914030
1157,315652,914258
1158,315686,934838
1159,315700,1030005
1160,315716,852505
1161,315783,841558
1162,315788,904405
1163,315811,925327
1164,315827,1029202
1165,315847,958488
1166,315850,1062722
1167,315922,1062236
1168,315938,971086
1169,315941,832505
1170,315941,1028922
1171,315972,1001819
1172,315983,898669
1173,316000,857188
1174,316033,946552
1175,316038,891955
1176,316072,818855
1177,316088,850472
1178,316250,828869
1179,316250,955791
1180,316263,918180
1181,316269,962836
1182,316277,1103333
1183,316291,971025
1184,316300,915544
1185,316313,936438
1186,316338,883133
1187,316369,867419
1188,316452,895552
1189,316502,950725
1190,316527,932019
1191,316591,974719
1192,316672,928905
1193,316747,886461
1194,316752,930444
1195,316797,964819
1196,316830,921336
1197,316925,1062069
1198,316938,891305
1199,317011,903975
1200,317036,981236
1201,317058,836533
1202,317077,817425
1203,317086,856105
1204,317086,877772
1205,317113,910605
1206,317127,1100669
1207,317147,832527
1208,317163,862638
1209,317169,991322
1210,317200,858161
1211,317225,915430
1212,317244,961650
1213,317319,841708
1214,317333,872047
1215,317380,999469
1216,317419,989452
1217,317511,1031594
1218,317538,966497
1219,317561,846152
1220,317586,1064863
1221,317605,930861
1222,317711,847894
1223,317719,918213
1224,317733,844466
1225,317738,816327
1226,317780,823486
1227,317822,975763
1228,317833,855558
1229,317838,816077
1230,317863,890322
1231,317877,964622
1232,317883,877272
1233,317958,951500
1234,318022,970913
1235,318086,859700
1236,318144,948402
1237,318191,923297
1238,318197,935141
1239,318213,930294
1240,318241,944908
1241,318272,994261
1242,318294,866177
1243,318308,843644
1244,318361,1009844
1245,318455,1023672
1246,318463,916561
1247,318466,815961
1248,318575,1030922
1249,318600,886994
1250,318602,903958
1251,318636,922958
1252,318736,897336
1253,318780,854497
1254,318866,889838
1255,318872,1002913
1256,318911,851455
1257,318922,1004844
1258,318933,931180
1259,318938,967144
1260,318972,986033
1261,319002,842519
1262,319027,922430
1263,319036,943950
1264,319119,1118805
1265,319133,877358
1266,319230,976563
1267,319252,926394
1268,319291,826797
1269,319363,819286
1270,319380,813036
1271,319436,942438
1272,319508,834563
1273,319563,999619
1274,319608,909838
1275,319616,898700
1276,319633,837825
1277,319636,952702
1278,319655,940536
1279,319677,1102938
1280,319752,939977
1281,319788,892872
1282,319808,916555
1283,319827,980333
1284,319844,865786
1285,319872,903569
1286,319894,832002
1287,319908,872905
1288,319919,833069
1289,319972,1020775
1290,320000,808458
1291,320038,1066052
1292,320108,971297
1293,320147,933419
1294,320166,929091
1295,320172,830627
1296,320216,937141
1297,320263,921388
1298,320333,810500
1299,320333,895222
1300,320338,843927
1301,320355,825083
1302,320375,937000
1303,320400,887280
1304,320491,916580
1305,320497,921091
1306,320525,955061
1307,320677,829008
1308,320722,842327
1309,320725,912408
1310,320736,829147
1311,320800,968063
1312,320833,811000
1313,320850,983416
1314,320852,932200
1315,320866,821180
1316,320877,846675
1317,320883,954716
1318,320894,882219
1319,320913,837955
1320,320919,967155
1321,320952,964686
1322,320958,989633
1323,320961,902941
1324,321094,906233
1325,321100,835011
1326,321141,811541
1327,321152,812472
1328,321244,969450
1329,321261,991650
1330,321291,1017880
1331,321322,812991
1332,321330,962275
1333,321358,816222
1334,321397,953200
1335,321438,960908
1336,321441,857150
1337,321444,951202
1338,321469,827780
1339,321488,811633
1340,321530,947991
1341,321533,901311
1342,321558,819338
1343,321572,943372
1344,321594,971497
1345,321613,819041
1346,321630,917205
1347,321686,882825
1348,321694,960122
1349,321811,821091
1350,321838,865802
1351,321838,968844
1352,321872,825658
1353,321975,831777
1354,321994,1109677
1355,322019,839086
1356,322041,823219
1357,322047,958552
1358,322094,997963
1359,322136,986702
1360,322161,807527
1361,322175,824136
1362,322205,982019
1363,322216,1109258
1364,322252,950575
1365,322266,952252
1366,322333,973741
1367,322344,977550
1368,322369,808605
1369,322380,843091
1370,322386,949402
1371,322411,927158
1372,322416,854163
1373,322427,944552
1374,322502,1014783
1375,322527,1098313
1376,322591,904225
1377,322613,837366
1378,322663,876252
1379,322686,1077580
1380,322700,1068002
1381,322730,899858
1382,322744,949783
1383,322766,927233
1384,322783,957494
1385,322816,938238
1386,322836,834722
1387,322861,1040952
1388,322869,810808
1389,322936,840611
1390,322958,812355
1391,322963,1013058
1392,322986,901847
1393,323050,840275
1394,323052,847727
1395,323061,877980
1396,323061,924502
1397,323069,960063
1398,323077,954797
1399,323088,917747
1400,323094,901388
1401,323122,1067777
1402,323127,897983
1403,323130,970113
1404,323158,945163
1405,323175,890255
1406,323186,1025452
1407,323188,845172
1408,323202,962127
1409,323211,891633
1410,323283,932797
1411,323291,966250
1412,323300,906055
1413,323344,961511
1414,323361,813916
1415,323413,903216
1416,323430,893286
1417,323475,973863
1418,323491,904600
1419,323502,1087080
1420,323511,953008
1421,323525,908777
1422,323536,896544
1423,323641,887036
1424,323644,894741
1425,323663,961005
1426,323666,863000
1427,323694,841880
1428,323716,1128600
1429,323769,825925
1430,323788,806927
1431,323794,816633
1432,323808,1064788
1433,323863,968480
1434,323866,833547
1435,323880,989788
1436,323880,1008641
1437,323938,993938
1438,323966,973236
1439,323969,820602
1440,323969,908563
1441,324013,988172
1442,324058,994933
1443,324063,972113
1444,324066,887772
1445,324072,870211
1446,324083,911866
1447,324111,1007119
1448,324172,886477
1449,324205,1042283
1450,324238,856916
1451,324283,901322
1452,324311,966675
1453,324313,806700
1454,324322,830613
1455,324333,971022
1456,324338,866547
1457,324355,807241
1458,324366,1112247
1459,324372,1031586
1460,324388,891083
1461,324419,822152
1462,324419,977938
1463,324425,962297
1464,324452,949483
1465,324458,1005383
1466,324486,817833
1467,324486,997327
1468,324488,975263
1469,324494,875141
1470,324561,839402
1471,324575,914930
1472,324575,998711
1473,324580,837316
1474,324608,849877
1475,324613,973877
1476,324616,901152
1477,324638,864597
1478,324697,986786
1479,324705,1000125
1480,324708,850008
1481,324708,1004055
1482,324772,917547
1483,324786,940594
1484,324797,863619
1485,324805,809805
1486,324822,969941
1487,324861,882963
1488,324955,849919
1489,325005,947402
1490,325041,945738
1491,325091,921191
1492,325116,863766
1493,325155,954091
1494,325158,921916
1495,325158,937319
1496,325175,878363
1497,325175,968041
1498,325183,921475
1499,325230,926377
1500,325247,956369
1501,325250,937500
1502,325263,968861
1503,325275,927138
1504,325294,949027
1505,325300,925141
1506,325305,825894
1507,325325,935038
1508,325338,966652
1509,325344,927883
1510,325355,934108
1511,325358,858933
1512,325380,819325
1513,325402,829038
1514,325419,973205
1515,325430,903091
1516,325436,862119
1517,325438,930527
1518,325447,943672
1519,325480,828719
1520,325488,929200
1521,325497,858700
1522,325519,984977
1523,325536,838875
1524,325563,958630
1525,325569,842383
1526,325597,840963
1527,325605,856725
1528,325630,971413
1529,325788,973622
1530,325808,938925
1531,325827,821552
1532,325836,951086
1533,325838,1171122
1534,325841,881872
1535,325883,952038
1536,325883,965083
1537,325888,963086
1538,325888,966850
1539,325897,968566
1540,325908,926477
1541,325919,967558
1542,325936,948552
1543,325963,1147088
1544,325972,823338
1545,325997,1106302
1546,326038,914777
1547,326055,832455
1548,326097,854808
1549,326108,1107702
1550,326119,998138
1551,326125,900366
1552,326152,932866
1553,326208,836000
1554,326277,964555
1555,326308,972888
1556,326322,873191
1557,326352,860344
1558,326394,965380
1559,326400,1170833
1560,326408,903647
1561,326452,853783
1562,326466,972255
1563,326491,967127
1564,326516,969080
1565,326536,837597
1566,326550,799405
1567,326591,836188
1568,326630,954880
1569,326652,1071525
1570,326727,1141461
1571,326730,974602
1572,326733,957091
1573,326775,845394
1574,326780,1170983
1575,326788,1154980
1576,326833,847383
1577,326858,1171822
1578,326875,833466
1579,326875,939608
1580,326900,808508
1581,326947,937416
1582,326958,976019
1583,326961,920858
1584,326980,958850
1585,326988,926566
1586,326991,1081313
1587,327025,1031355
1588,327027,971550
1589,327044,875958
1590,327091,960080
1591,327141,971561
1592,327152,1171563
1593,327169,1168752
1594,327188,1026444
1595,327213,1091047
1596,327216,840133
1597,327225,1106400
1598,327233,992969
1599,327252,973205
1600,327252,1146236
1601,327286,949422
1602,327286,966225
1603,327291,827200
1604,327308,1155288
1605,327341,802419
1606,327358,962750
1607,327361,968866
1608,327375,1019505
1609,327425,1170305
1610,327438,939713
1611,327447,974133
1612,327458,969975
1613,327480,964716
1614,327502,816369
1615,327547,812422
1616,327555,989019
1617,327558,1115541
1618,327563,998958
1619,327572,943450
1620,327572,974105
1621,327577,848750
1622,327591,977969
1623,327594,974580
1624,327616,1081300
1625,327630,802502
1626,327675,886508
1627,327677,1170222
1628,327700,1082797
1629,327713,891166
1630,327733,924055
1631,327750,917925
1632,327763,799311
1633,327786,919141
1634,327794,1081497
1635,327833,968000
1636,327852,800352
1637,327872,845619
1638,327883,868716
1639,327888,851450
1640,327916,930555
1641,327919,1155622
1642,327927,956341
1643,327930,1156902
1644,327938,798627
1645,327947,1169616
1646,327958,954508
1647,327961,851838
1648,327963,965605
1649,327994,972688
1650,328000,947205
1651,328002,856536
1652,328038,819494
1653,328041,911700
